Store ID,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County
1,2623,HY-VEE FOOD STORE #4 / SIOUX CITY,2827 HAMILTON BLVD,SIOUX CITY,51104,POINT (-96.417783 42.519886),97,WOODBURY
2,4167,IOWA STREET MARKET  INC.,1256 IOWA ST,DUBUQUE,52001,POINT (-90.668138 42.504959),31,DUBUQUE
3,4921,MARKET EXPRESS,5340 16TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.739906 41.963888),57,LINN
4,5257,MAD AVE QUIK SHOP,405  MADISON AVE,OTTUMWA,52501,,90,WAPELLO
5,4565,KUM & GO #228 / SIOUX CITY,1925 S LAKEPORT ST,SIOUX CITY,51106,POINT (-96.346548 42.469008),97,WOODBURY
6,3622,WAL-MART 1415 / SPIRIT LAKE,2600 HWY 71,SPIRIT LAKE,51360,POINT (-95.126535 43.416452),30,DICKINSON
7,3390,OKOBOJI AVENUE LIQUOR,1610 OKOBOJI AVENUE,MILFORD,51351,POINT (-95.149955 43.331525),30,DICKINSON
8,3811,WAL-MART 1431 / KEOKUK,300 NORTH PARK DR,KEOKUK,52632,POINT (-91.407263 40.418589),56,LEE
9,2587,HY-VEE FOOD STORE / JOHNSTON,5750 MERLE HAY ROAD,JOHNSTON,50131,POINT (-93.697731 41.665172),77,POLK
10,5172,UPTOWN LIQUOR & TOBACCO,2000 WILLEY BLVD SW,CEDAR RAPIDS,52404,POINT (-91.725777 41.959614),57,LINN
11,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,POINT (-90.193204 41.836268000000004),23,CLINTON
12,5263,BERNIE'S BOOZE LLC,950  WEST VIEW DR,ROCK VALLEY,51247,POINT (-96.308805 43.199647),84,SIOUX
13,4275,FAREWAY STORES #980 / KNOXVILLE,1308 S LINCOLN ST,KNOXVILLE,50138,POINT (-93.109473 41.308103),63,MARION
14,3013,KEITH'S FOODS,207 E LOCUST ST,BLOOMFIELD,52537,POINT (-92.412847 40.752691),26,DAVIS
15,2515,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,POINT (-93.23551 43.149557),17,CERRO GORD
16,3628,WAL-MART 1528 / CEDAR RAPIDS,2645 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.680734 42.034748),57,LINN
17,3722,WAL-MART 1361 / SIOUX CITY,3400 SINGING HILLS BLVD,SIOUX CITY,51106,POINT (-96.36432 42.43609000000001),97,WOODBURY
18,2566,HY-VEE FOOD STORE / KNOXVILLE,813 N LINCOLN STE 1,KNOXVILLE,50138,,63,MARION
19,2588,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,POINT (-91.60978 41.976835),57,LINN
20,3647,WAL-MART 2889 / CLINTON,2715 SOUTH 25TH ST,CLINTON,52732,POINT (-90.245005 41.818874),23,CLINTON
21,2555,HY-VEE FOOD STORE / KEOKUK,3111 MAIN,KEOKUK,52632,POINT (-91.403752 40.41538),56,LEE
22,2576,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,POINT (-95.200758 42.65318400000001),11,BUENA VIST
23,5127,PRICE CHOPPER  /  INGERSOLL,3425 INGERSOLL AVE,DES MOINES,50312,POINT (-93.663337 41.586313),77,POLK
24,5374,IOWA LIQUOR & TOBACCO,1021 EAST MAIN STREET,OTTUMWA,52501,POINT (-92.400704 41.010404),90,WAPELLO
25,4462,SHELTON'S,113 1ST ST NW,BUFFALO CENTER,50424,POINT (-93.947595 43.386755),95,WINNEBAGO
