Sub-Category Name,Average State Bottle Cost,Average State Bottle Retail,Min Bottle Volume (ml),Max Bottle Volume (ml)
,14,21.5,750,750
FLAVORED RUM,7.8214285714285714285714285714,12.035714285714285714285714286,50,1750
AMERICAN FLAVORED VODKA,6.468,9.796,50,1750
MIXTO TEQUILA,10.203125,15.40625,50,1750
AMERICAN SLOE GINS,5,8,1000,1000
IMPORTED CORDIALS & LIQUEURS,14.654320987654320987654320988,22.160493827160493827160493827,20,1750
STRAIGHT RYE WHISKIES,23.210526315789473684210526316,35.070175438596491228070175439,50,1750
TEMPORARY & SPECIALTY PACKAGES,19.39375,29.23125,25,2400
MEZCAL,20.166666666666666666666666667,30.5,750,1000
100% AGAVE TEQUILA,19.265,29.06,50,1750
COFFEE LIQUEURS,10.923076923076923076923076923,16.653846153846153846153846154,50,1750
DISTILLED SPIRITS SPECIALTY,23,35,750,750
CORN WHISKIES,17.5,26.4,750,750
CANADIAN WHISKIES,11.146892655367231638418079096,16.881355932203389830508474576,50,3000
IMPORTED CORDIALS & LIQUEUR,19.875,30.125,50,1000
SPECIAL ORDER ITEMS,15.606060606060606060606060606,23.393939393939393939393939394,50,1750
WHITE RUM,6.8245614035087719298245614035,10.350877192982456140350877193,50,1750
TEMPORARY &  SPECIALTY PACKAGES,27.857142857142857142857142857,41.904761904761904761904761905,50,1750
SCOTCH WHISKIES,28.078651685393258426966292135,42.292134831460674157303370787,50,1750
SPICED RUM,8.375,12.819444444444444444444444444,50,1750
SINGLE MALT SCOTCH,34.967032967032967032967032967,52.725274725274725274725274725,375,1750
AGED DARK RUM,13.90625,20.9375,750,1750
SINGLE BARREL BOURBON WHISKIES,25.181818181818181818181818182,37.636363636363636363636363636,750,750
AMERICAN CORDIALS & LIQUEURS,8,12,750,750
IMPORTED DRY GINS,16.30952380952380952380952381,24.738095238095238095238095238,375,1750
STRAIGHT BOURBON WHISKIES,15.658914728682170542635658915,23.604651162790697674418604651,50,1750
IMPORTED BRANDIES,20.813953488372093023255813953,31.5,50,1750
AMERICAN VODKAS,6.1399176954732510288065843621,9.419753086419753086419753086,50,1750
AMERICAN CORDIALS & LIQUEUR,8.690265486725663716814159292,13.353982300884955752212389381,50,1750
AMERICAN DISTILLED SPIRIT SPECIALTY,12.789473684210526315789473684,19.368421052631578947368421053,50,750
CREAM LIQUEURS,14.761061946902654867256637168,22.17699115044247787610619469,50,6000
TENNESSEE WHISKIES,14.65625,22.328125,50,1750
IMPORTED SCHNAPPS,9.071428571428571428571428571,13.5,50,1750
NEUTRAL GRAIN SPIRITS,9.5,14.2,375,1750
AMERICAN DRY GINS,6.7307692307692307692307692308,10.256410256410256410256410256,50,1750
AMERICAN WHISKIES,19,28,750,750
AMERICAN BRANDIES,5.848,8.936,50,1750
BOTTLED IN BOND BOURBON,23.7,35.7,750,1750
TRIPLE SEC,2.4285714285714285714285714286,3.8571428571428571428571428571,750,1000
IMPORTED VODKAS,13.275229357798165137614678899,20.08256880733944954128440367,50,1750
IMPORTED FLAVORED VODKA,10.725806451612903225806451613,16.395161290322580645161290323,50,1750
AMERICAN SCHNAPPS,6.106870229007633587786259542,9.267175572519083969465648855,50,1750
GOLD RUM,9.382352941176470588235294118,14.147058823529411764705882353,50,1750
COCKTAILS /RTD,7.6103896103896103896103896104,11.623376623376623376623376623,50,2250
IOWA DISTILLERIES,22,34,750,750
FLAVORED GIN,13.333333333333333333333333333,19.833333333333333333333333333,750,750
WHISKEY LIQUEUR,11.417910447761194029850746269,17.26865671641791044776119403,50,3000
IRISH WHISKIES,16.288461538461538461538461538,24.692307692307692307692307692,50,1750
IMPORTED DISTILLED SPIRIT SPECIALTY,13.181818181818181818181818182,20,375,1000
NEUTRAL GRAIN SPIRITS FLAVORED,11.35,17.25,50,750
BLENDED WHISKIES,9.135338345864661654135338346,13.842105263157894736842105263,50,1750
